J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,stage_mae,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
726,0.21,sn_kjContinuousBeta_sigmoid,0,5,BebmS,3,0.02632702494936534,0.351981351981352,2.356555958588918,0.16666666666666666,0.8140441493054628,1.329655172413793,0.039735099337748346,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,5,BebmS (Blind),3,0.02632702494936534,0.351981351981352,2.767715573310852,0.15656565656565655,0.7912844467754562,1.296551724137931,0.052980132450331126,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,5,Random Guessing,3,0.02632702494936534,0.351981351981352,0.0,0.393939393939394,-0.0017145677843788585,4.293793103448276,5.3841059602649,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,5,SuStaIn (GMM),3,0.02632702494936534,0.351981351981352,4.754965376853943,0.23737373737373735,0.5578279738244558,1.809655172413793,3.4966887417218544,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,0,5,SuStaIn (KDE),3,0.02632702494936534,0.351981351981352,4.5148006518681845,0.30303030303030304,0.12113086212345091,1.7655172413793103,2.23841059602649,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,5,BebmS,3,0.11935973378982866,0.14685314685314685,5.031572298208872,0.1616161616161616,0.4399063212524412,1.2314049586776858,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,5,BebmS (Blind),3,0.11935973378982866,0.14685314685314685,6.0462900519371034,0.32323232323232326,0.4910698248531937,2.0509641873278235,1.7682119205298013,,1.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,5,Random Guessing,3,0.11935973378982866,0.14685314685314685,0.0,0.4444444444444444,-0.0023799567176248752,4.435261707988981,6.417218543046357,,1.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,5,SuStaIn (GMM),3,0.11935973378982866,0.14685314685314685,7.682243923346202,0.20707070707070707,0.6094417110152024,1.4325068870523416,2.0596026490066226,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,1,5,SuStaIn (KDE),3,0.11935973378982866,0.14685314685314685,7.224940550327301,0.23232323232323235,0.14995474654760813,2.2796143250688705,3.5496688741721854,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,2,5,BebmS,3,0.3203359651731264,0.5959595959595959,4.828847646713257,0.13636363636363635,0.07740739224911529,1.5448275862068965,0.013245033112582781,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,2,5,BebmS (Blind),3,0.3203359651731264,0.5959595959595959,6.427804982662201,0.28787878787878785,0.056601670370885225,1.9227586206896552,0.23841059602649006,,1.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,2,5,Random Guessing,3,0.3203359651731264,0.5959595959595959,0.0,0.47474747474747475,0.00036005592730514366,4.125517241379311,5.450331125827814,,1.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,2,5,SuStaIn (GMM),3,0.3203359651731264,0.5959595959595959,7.821664786338806,0.35858585858585856,0.15866054485956488,1.5420689655172415,2.357615894039735,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,2,5,SuStaIn (KDE),3,0.3203359651731264,0.5959595959595959,7.575836749871572,0.22222222222222224,0.09339845264652556,1.7489655172413794,2.2913907284768213,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,3,5,BebmS,3,0.3066442925561646,0.5555555555555556,5.323523696263631,0.2727272727272727,0.5199606577569544,0.8937931034482759,0.046357615894039736,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,3,5,BebmS (Blind),3,0.3066442925561646,0.5555555555555556,6.450425044695536,0.1414141414141414,0.7899393636404745,0.8675862068965517,0.0728476821192053,,3.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,3,5,Random Guessing,3,0.3066442925561646,0.5555555555555556,0.0,0.44949494949494945,-0.002449166404088586,4.333793103448276,5.960264900662252,,3.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,3,5,SuStaIn (GMM),3,0.3066442925561646,0.5555555555555556,8.29480150938034,0.15656565656565657,0.6274349774791989,1.1820689655172414,1.119205298013245,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,3,5,SuStaIn (KDE),3,0.3066442925561646,0.5555555555555556,7.572701179981232,0.34848484848484845,0.07765136420680133,2.3351724137931034,3.576158940397351,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,4,5,BebmS,3,0.2784801688745987,0.7000777000777001,2.3544559597969057,0.22222222222222224,0.022247955872659292,1.3544827586206896,0.0,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,4,5,BebmS (Blind),3,0.2784801688745987,0.7000777000777001,2.8498926679293315,0.23232323232323235,0.001027691441332546,1.4,0.033112582781456956,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,4,5,Random Guessing,3,0.2784801688745987,0.7000777000777001,0.0,0.4595959595959596,0.004073058135883238,4.481379310344828,6.675496688741722,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,4,5,SuStaIn (GMM),3,0.2784801688745987,0.7000777000777001,4.9198565284411115,0.2878787878787879,0.0018425644121182832,1.7544827586206897,2.403973509933775,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,4,5,SuStaIn (KDE),3,0.2784801688745987,0.7000777000777001,4.515010511875152,0.35858585858585856,0.057128089031499726,2.420689655172414,3.437086092715232,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,5,5,BebmS,3,0.457652282339572,0.5446775446775447,2.4161207477251687,0.15151515151515152,0.4861593862885952,1.2024793388429753,0.026490066225165563,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,5,5,BebmS (Blind),3,0.457652282339572,0.5446775446775447,2.800299076239268,0.1313131313131313,0.6430644972711185,1.40633608815427,0.033112582781456956,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,5,5,Random Guessing,3,0.457652282339572,0.5446775446775447,0.0,0.34848484848484845,-0.0024684888767737296,4.330578512396694,5.973509933774834,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,5,5,SuStaIn (GMM),3,0.457652282339572,0.5446775446775447,4.703905141353607,0.13636363636363635,0.5768440546298835,1.3264462809917354,2.2781456953642385,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,5,5,SuStaIn (KDE),3,0.457652282339572,0.5446775446775447,4.477815218766531,0.3686868686868687,0.09322337336743419,2.1101928374655645,2.562913907284768,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,6,5,BebmS,3,0.08236725896499666,0.5757575757575758,5.023143104712168,0.1919191919191919,0.15767425145374417,0.9296551724137931,0.046357615894039736,,,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,6,5,BebmS (Blind),3,0.08236725896499666,0.5757575757575758,4.452316097418467,0.21212121212121213,0.41635639921589246,1.0082758620689656,0.06622516556291391,,2.0,100,100
726,0.21,sn_kjContinuousBeta_sigmoid,6,5,Random Guessing,3,0.08236725896499666,0.5757575757575758,0.0,0.4444444444444444,-0.0025831520727933343,4.204137931034483,5.7218543046357615,,2.0,100,100
